Time,Used,Committed,Max
45438.749913,29967400,32894976,109576192
45438.749959,21587880,32894976,109576192
45438.750006,30220736,32894976,109576192
45438.750052,29109840,32894976,109576192
45438.750098,29346832,32894976,109576192
45438.750144,29168152,32894976,109576192
45438.750191,29184752,32894976,109576192
45438.750237,29018440,32894976,109576192
45438.750283,29440504,32894976,109576192
45438.750330,29842240,32894976,109576192
45438.750376,29858144,32894976,109576192
45438.750423,29878208,32894976,109576192
45438.750469,29742496,32894976,109576192
45438.750515,29947872,32894976,109576192
45438.750562,29762288,32894976,109576192
45438.750608,30001840,32894976,109576192
45438.750654,30024832,32894976,109576192
45438.750701,30041752,32894976,109576192
45438.750747,29114552,32894976,109576192
45438.750793,28597592,32894976,109576192
45438.750839,28960032,32894976,109576192
45438.750886,28814240,32894976,109576192
45438.750932,29052120,32894976,109576192
45438.750979,28879936,32894976,109576192
45438.751026,29654808,32894976,109576192
45438.751071,28561584,32894976,109576192
45438.751118,28945112,32894976,109576192
45438.751164,28061184,32894976,109576192
45438.751225,22455744,32894976,109576192
45438.751271,29039112,32894976,109576192
45438.751318,27182832,32894976,109576192
45438.751365,27399656,32894976,109576192
45438.751411,26112688,32894976,109576192
45438.751457,26501104,32894976,109576192
45438.751503,26176824,32894976,109576192
45438.751550,26397960,32894976,109576192
45438.751596,26046992,32894976,109576192
45438.751642,26233168,32894976,109576192
45438.751689,26230872,32894976,109576192
45438.751735,26489920,32894976,109576192
45438.751781,26708928,32894976,109576192
45438.751828,26546280,32894976,109576192
45438.751874,26379288,32894976,109576192
45438.751921,26382872,32894976,109576192
45438.751967,26805160,32894976,109576192
45438.752013,26812816,32894976,109576192
45438.752060,26656352,32894976,109576192
45438.752106,25551984,32894976,109576192
45438.752152,25757952,32894976,109576192
45438.752199,25443072,32894976,109576192
45438.752245,25430032,32894976,109576192
45438.752291,25272384,32894976,109576192
45438.752338,14387664,34795520,109576192
45438.752384,19390040,34795520,109576192
45438.752430,18295136,34795520,109576192
45438.752477,16868768,34795520,109576192
45438.752523,15119616,34795520,109576192
45438.752569,23367624,34795520,109576192
45438.752616,22052624,34795520,109576192
45438.752662,20252736,34795520,109576192
45438.752708,18134808,34795520,109576192
45438.752755,16421624,34795520,109576192
45438.752801,23686320,34795520,109576192
45438.752847,22092328,34795520,109576192
45438.752894,20573088,34795520,109576192
45438.752940,18876280,34795520,109576192
45438.752988,18047576,34795520,109576192
45438.753033,15373160,34795520,109576192
45438.753079,24034352,34795520,109576192
45438.753126,22302912,34795520,109576192
45438.753172,21073144,34795520,109576192
45438.753218,19088968,34795520,109576192
45438.753265,18103256,34795520,109576192
45438.753311,16291488,34795520,109576192
45438.753358,15129584,34795520,109576192
45438.753404,23426512,34795520,109576192
45438.753450,23696832,34795520,109576192
45438.753497,19685312,34795520,109576192
45438.753543,17974704,34795520,109576192
45438.753589,16434832,34795520,109576192
45438.753636,15279296,34795520,109576192
45438.753682,23347016,34795520,109576192
45438.753728,22001984,34795520,109576192
45438.753775,20648040,34795520,109576192
45438.753821,19060840,34795520,109576192
45438.753868,17858536,34795520,109576192
45438.753914,16221136,34795520,109576192
45438.753961,24487848,34795520,109576192
45438.754007,23131008,34795520,109576192
45438.754053,21699096,34795520,109576192
45438.754100,20333560,34795520,109576192
45438.754146,18576200,34795520,109576192
45438.754192,15751520,34795520,109576192
45438.754239,23853896,34795520,109576192
45438.754285,22879680,34795520,109576192
45438.754331,21124136,34795520,109576192
45438.754378,19603824,34795520,109576192
45438.754424,18195992,34795520,109576192
45438.754470,16506856,34795520,109576192
45438.754517,25116872,34795520,109576192
45438.754563,23390792,34795520,109576192
45438.754609,21444112,34795520,109576192
45438.754655,20118264,34795520,109576192
45438.754702,18598128,34795520,109576192
45438.754748,17269640,34795520,109576192
45438.754796,16514360,34795520,109576192
45438.754841,23955520,34795520,109576192
45438.754887,21353056,34795520,109576192
45438.754934,19807856,34795520,109576192
45438.754980,18324056,34795520,109576192
45438.755026,16592496,34795520,109576192
45438.755073,25247512,34795520,109576192
45438.755119,23888624,34795520,109576192
45438.755165,22508656,34795520,109576192
45438.755212,20808096,34795520,109576192
45438.755258,19260864,34795520,109576192
45438.755304,17805272,34795520,109576192
45438.755351,16170160,34795520,109576192
45438.755397,24617712,34795520,109576192
45438.755443,23426632,34795520,109576192
45438.755490,21855888,34795520,109576192
45438.755536,20492024,34795520,109576192
45438.755582,16508760,34795520,109576192
45438.755629,24177464,34795520,109576192
45438.755675,22968888,34795520,109576192
45438.755721,21466128,34795520,109576192
45438.755768,20182760,34795520,109576192
45438.755814,18614344,34795520,109576192
45438.755861,17407848,34795520,109576192
45438.755907,25824192,34795520,109576192
45438.755954,24875440,34795520,109576192
45438.756000,23132088,34795520,109576192
45438.756046,21925568,34795520,109576192
45438.756093,20777800,34795520,109576192
45438.756139,19116976,34795520,109576192
45438.756186,17775352,34795520,109576192
45438.756232,16440152,34795520,109576192
45438.756278,23713568,34795520,109576192
45438.756325,22287072,34795520,109576192
45438.756371,21075440,34795520,109576192
45438.756417,19451456,34795520,109576192
45438.756464,18187080,34795520,109576192
45438.756510,16784728,34795520,109576192
45438.756556,25021304,34795520,109576192
45438.756603,23688136,34795520,109576192
45438.756649,22251488,34795520,109576192
45438.756695,20975864,34795520,109576192
45438.756742,19071392,34795520,109576192
45438.756788,17759688,34795520,109576192
45438.756835,26363136,34795520,109576192
45438.756881,25179376,34795520,109576192
45438.756927,23551992,34795520,109576192
45438.756974,20535056,34795520,109576192
45438.757020,18452136,34795520,109576192
45438.757066,17237272,34795520,109576192
45438.757113,23985864,34795520,109576192
45438.757159,22197208,34795520,109576192
45438.757205,21026664,34795520,109576192
45438.757251,19276840,34795520,109576192
45438.757298,17543440,34795520,109576192
45438.757344,25892368,34795520,109576192
45438.757391,24226568,34795520,109576192
45438.757437,22468648,34795520,109576192
45438.757483,20981312,34795520,109576192
45438.757530,19766008,34795520,109576192
45438.757576,18180920,34795520,109576192
45438.757622,26485968,34795520,109576192
45438.757669,24192512,34795520,109576192
45438.757715,22870784,34795520,109576192
45438.757761,21517752,34795520,109576192
45438.757808,19972040,34795520,109576192
45438.757854,18229688,34795520,109576192
45438.757901,26614432,34795520,109576192
45438.757947,25117240,34795520,109576192
45438.757993,23598880,34795520,109576192
45438.758040,21851496,34795520,109576192
45438.758086,19732304,34795520,109576192
45438.758132,17980320,34795520,109576192
45438.758179,26283440,34795520,109576192
45438.758225,24699688,34795520,109576192
45438.758271,22706264,34795520,109576192
45438.758318,21619776,34795520,109576192
45438.758364,19143992,34795520,109576192
45438.758411,17730544,34795520,109576192
45438.758457,26374536,34795520,109576192
45438.758503,25052448,34795520,109576192
45438.758550,23579088,34795520,109576192
45438.758596,22060800,34795520,109576192
45438.758642,20595336,34795520,109576192
45438.758689,19321640,34795520,109576192
45438.758735,17703944,34795520,109576192
45438.758781,26166664,34795520,109576192
45438.758828,24786688,34795520,109576192
45438.758874,23579544,34795520,109576192
45438.758920,22109360,34795520,109576192
45438.758967,20566552,34795520,109576192
45438.759013,18848696,34795520,109576192
45438.759059,26523160,34795520,109576192
45438.759106,25305264,34795520,109576192
45438.759152,23727296,34795520,109576192
45438.759199,22258880,34795520,109576192
45438.759245,20769816,34795520,109576192
45438.759291,19386496,34795520,109576192
45438.759338,18214376,34795520,109576192
45438.759384,26505936,34795520,109576192
45438.759430,24726064,34795520,109576192
45438.759477,23492424,34795520,109576192
45438.759523,21721760,34795520,109576192
